"filename", "language", "Dart", "comment", "blank", "total"
"/Users/ganneyd/softwaredev/inventory_v1/lib/data/models/checked-out/checked_out_model.dart", "Dart", -1, 0, 0, -1
"/Users/ganneyd/softwaredev/inventory_v1/lib/data/models/part/part_model.dart", "Dart", 1, 0, 0, 1
"/Users/ganneyd/softwaredev/inventory_v1/lib/data/models/part/part_model.freezed.dart", "Dart", -378, -15, -26, -419
"/Users/ganneyd/softwaredev/inventory_v1/lib/data/models/part/part_model.g.dart", "Dart", -99, -7, -12, -118
"/Users/ganneyd/softwaredev/inventory_v1/lib/data/models/part_order/part_order_model.dart", "Dart", 32, 0, 3, 35
"/Users/ganneyd/softwaredev/inventory_v1/lib/data/repositories/checked_out_part_repository_implementation.dart", "Dart", -3, 0, 0, -3
"/Users/ganneyd/softwaredev/inventory_v1/lib/data/repositories/part_repository_implementation.dart", "Dart", 1, 0, 0, 1
"/Users/ganneyd/softwaredev/inventory_v1/lib/domain/entities/checked-out/cart_check_out_entity.dart", "Dart", 16, 1, 3, 20
"/Users/ganneyd/softwaredev/inventory_v1/lib/domain/entities/checked-out/checked_out_entity.dart", "Dart", 21, 0, 2, 23
"/Users/ganneyd/softwaredev/inventory_v1/lib/domain/entities/part/part_entity.dart", "Dart", 2, 1, 1, 4
"/Users/ganneyd/softwaredev/inventory_v1/lib/domain/entities/part_order/part_order_entity.dart", "Dart", 31, 0, 3, 34
"/Users/ganneyd/softwaredev/inventory_v1/lib/domain/usecases/checkout/add_checkout_parts.dart", "Dart", -3, 0, -2, -5
"/Users/ganneyd/softwaredev/inventory_v1/lib/domain/usecases/checkout/get_all_checkout_parts.dart", "Dart", 7, 0, 2, 9
"/Users/ganneyd/softwaredev/inventory_v1/lib/domain/usecases/checkout/verify_checkout_part.dart", "Dart", 2, 0, 0, 2
"/Users/ganneyd/softwaredev/inventory_v1/lib/presentation/dependency_check/cubit/dependency_check_cubit.dart", "Dart", 25, 2, 3, 30
"/Users/ganneyd/softwaredev/inventory_v1/lib/presentation/dependency_check/cubit/dependency_check_state.dart", "Dart", 1, 0, 0, 1
"/Users/ganneyd/softwaredev/inventory_v1/lib/presentation/dependency_check/cubit/dependency_check_state.freezed.dart", "Dart", 23, 0, 0, 23
"/Users/ganneyd/softwaredev/inventory_v1/lib/presentation/pages/checkout/cubit/checkout_cubit.dart", "Dart", 8, 0, 0, 8
"/Users/ganneyd/softwaredev/inventory_v1/lib/presentation/pages/checkout/cubit/checkout_state.dart", "Dart", 2, 0, -1, 1
"/Users/ganneyd/softwaredev/inventory_v1/lib/presentation/pages/checkout/cubit/checkout_state.freezed.dart", "Dart", 25, 0, 0, 25
"/Users/ganneyd/softwaredev/inventory_v1/lib/presentation/pages/checkout/view/checkout_view.dart", "Dart", 29, 0, 0, 29
"/Users/ganneyd/softwaredev/inventory_v1/lib/presentation/pages/manage_inventory/cubit/manage_inventory_cubit.dart", "Dart", -23, 4, 2, -17
"/Users/ganneyd/softwaredev/inventory_v1/lib/presentation/pages/manage_inventory/view/check_out_part_page_view.dart", "Dart", 8, 0, 0, 8
"/Users/ganneyd/softwaredev/inventory_v1/lib/presentation/pages/manage_inventory/view/manage_inventory_view.dart", "Dart", 1, 0, 0, 1
"/Users/ganneyd/softwaredev/inventory_v1/lib/presentation/pages/search_results/cubit/search_results_cubit.dart", "Dart", 3, 0, 0, 3
"/Users/ganneyd/softwaredev/inventory_v1/lib/presentation/pages/search_results/cubit/search_results_state.freezed.dart", "Dart", -3, 0, 0, -3
"/Users/ganneyd/softwaredev/inventory_v1/lib/presentation/pages/search_results/view/cart_drawer.dart", "Dart", 2, 0, 0, 2
"/Users/ganneyd/softwaredev/inventory_v1/lib/presentation/pages/search_results/view/search_results_view.dart", "Dart", 12, 0, 0, 12
"/Users/ganneyd/softwaredev/inventory_v1/lib/presentation/widgets/generic_app_bar_widget.dart", "Dart", 4, 0, 0, 4
"/Users/ganneyd/softwaredev/inventory_v1/lib/route_generator.dart", "Dart", 1, 0, 1, 2
"/Users/ganneyd/softwaredev/inventory_v1/lib/service_locator.dart", "Dart", 0, 0, 1, 1
"Total", "-", -253, -14, -20, -287
